MODEL COMPARISON (sorted by validation accuracy)
Generated: 13-Jun-2026 05:02:07

Model                     TrainAcc    ValAcc    ValPrec ValRecall    ValF1   ValAUC
Transfer_resnet50           0.9986    0.9940     0.9940    0.9941   0.9940   0.9999
Transfer_resnet18           0.9985    0.9881     0.9881    0.9881   0.9881   0.9996
Existing_Model              0.9880    0.9849     0.9848    0.9850   0.9849   0.9909
Transfer_alexnet            0.9881    0.9748     0.9749    0.9747   0.9748   0.9975
Transfer_vgg16              0.9807    0.9533     0.9532    0.9535   0.9532   0.9928
Transfer_squeezenet_best    0.9622    0.9358     0.9358    0.9361   0.9358   0.9893
Transfer_squeezenet_long    0.9290    0.9138     0.9139    0.9142   0.9138   0.9797
Transfer_squeezenet         0.8856    0.8607     0.8614    0.8613   0.8607   0.9496
Optimized_v1                0.8077    0.7741     0.7743    0.7734   0.7736   0.8678
Optimized_v3                0.8067    0.7699     0.7726    0.7685   0.7686   0.8631
Optimized_v2                0.5131    0.5133     0.2566    0.5000   0.3392   0.5000
